,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
27,1,4,6,2,6,1538,1,2,1,2,1,2,4,56,3,2,1,3,1,1,1
28,1,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,1,1,1
29,0,2,60,2,0,7408,2,2,4,2,1,2,2,24,3,2,1,4,1,1,1
30,1,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2
31,0,2,48,2,0,6560,2,4,3,3,1,2,2,24,3,2,1,3,1,1,1
32,1,4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,1,1,1
33,1,2,20,3,1,7057,5,4,3,3,1,4,2,36,1,1,2,4,2,2,1
34,1,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1
35,0,1,9,2,3,1366,1,2,3,2,1,4,2,22,3,1,1,3,1,1,1
36,0,3,18,2,2,2864,1,3,2,3,1,1,1,34,3,2,1,2,2,1,1
37,0,2,48,3,6,6224,1,5,4,3,1,4,4,50,3,3,1,3,1,1,1
38,1,1,10,4,0,1038,1,4,4,3,2,3,2,49,3,2,2,3,1,2,1
39,1,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,1,2,1
40,0,2,30,2,2,3441,2,3,2,2,2,4,3,21,1,1,1,3,1,1,1
41,0,1,18,1,0,1442,1,4,4,3,1,4,4,32,1,3,2,2,2,1,1
42,0,2,24,4,3,1216,2,2,4,3,1,4,4,38,1,2,2,3,2,1,1
43,0,1,24,3,0,4870,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1
44,1,2,18,2,1,2779,1,3,1,4,1,3,3,21,3,1,1,3,1,2,1
45,1,2,15,2,5,1514,2,3,4,3,3,2,1,22,3,2,1,3,1,1,1
46,1,4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,1,1,1
47,1,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,1,2,1
48,1,3,9,2,3,1126,2,5,2,1,1,4,1,49,3,2,1,3,1,1,1
49,0,2,12,2,2,951,2,2,4,2,1,4,3,27,1,1,4,3,1,1,1
50,1,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1
51,1,4,6,1,0,783,5,3,1,3,3,2,1,26,2,2,1,2,2,1,1
52,1,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1
53,1,2,10,2,2,1521,1,3,4,1,1,2,3,31,3,2,1,2,1,1,1
54,0,1,48,2,1,10297,1,4,4,3,1,4,4,39,3,3,3,3,2,2,1
55,1,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1
56,1,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1
57,1,4,4,4,3,1503,1,4,2,3,1,1,1,42,3,2,2,2,2,1,1
58,1,2,24,2,0,1201,1,2,4,3,1,1,2,26,3,2,1,3,1,1,1
59,0,4,36,3,3,4463,1,3,4,3,1,2,3,26,3,2,2,4,1,2,1
60,1,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,2,2,1
61,0,2,9,4,6,1501,1,5,2,2,1,3,3,34,3,2,2,4,1,2,1
62,1,1,20,2,2,2212,5,4,4,3,1,4,3,39,3,2,1,3,1,2,1
63,0,4,12,2,6,719,1,5,4,3,1,4,3,41,1,2,1,2,2,1,1
64,1,4,22,2,3,2675,3,5,3,3,1,4,3,40,3,2,1,3,1,1,1
65,1,4,12,4,2,3331,1,5,2,3,1,4,2,42,2,2,1,3,1,1,1
66,1,3,10,4,3,1347,5,4,4,3,1,2,2,27,3,2,2,3,1,2,1
67,1,1,12,2,2,1289,1,3,4,3,3,1,2,21,3,2,1,2,1,1,1
68,1,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,1
69,1,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,1,2,1
70,0,1,21,3,6,3414,1,2,2,3,1,1,2,26,2,2,2,3,1,1,1
71,1,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,1,1
72,0,1,36,2,2,3446,1,5,4,3,1,2,3,42,3,2,1,3,2,1,1
73,1,2,21,4,9,3652,1,4,2,3,1,3,2,27,3,2,2,3,1,1,1
74,1,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,1,1,1
75,1,2,24,2,2,3069,2,5,4,3,1,4,4,30,3,3,1,3,1,1,1
76,1,4,9,2,0,2507,3,5,2,3,1,4,4,51,3,3,1,2,1,1,1
77,1,4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,1,1,1
78,1,3,18,2,2,3049,1,2,1,2,1,1,2,45,2,2,1,2,1,1,1
79,1,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,1
80,1,2,6,2,5,454,1,2,3,4,1,1,2,22,3,2,1,2,1,1,1
81,0,1,60,3,9,6836,1,5,3,3,1,4,4,63,3,2,2,3,1,2,1
82,0,2,30,2,0,2150,1,3,4,2,3,2,4,24,1,2,1,3,1,1,1
83,1,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,2
84,1,4,48,4,9,7629,5,5,4,1,1,2,3,46,1,2,2,4,2,1,1
85,1,4,18,4,3,6070,1,5,3,3,1,4,3,33,3,2,2,3,1,2,1
86,1,1,12,2,2,3590,1,3,2,3,2,2,2,29,3,2,1,2,2,1,1
87,1,2,12,2,2,3017,1,2,3,2,1,1,1,34,3,1,1,4,1,1,1
88,0,3,18,2,3,2100,1,3,4,3,2,2,1,37,3,2,1,3,1,1,1
89,1,4,10,2,6,727,3,5,4,3,1,4,4,46,3,3,1,3,1,2,1
90,0,1,24,2,3,2439,1,2,4,2,1,4,1,35,3,2,1,3,1,2,1
91,0,1,12,4,0,691,1,5,4,3,1,3,2,35,3,2,2,3,1,1,1
92,1,4,6,2,3,518,1,3,3,2,1,1,1,29,3,2,1,3,1,1,1
93,1,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,1,1,1
94,1,2,21,3,0,2353,1,3,1,1,1,4,2,47,3,2,2,3,1,1,1
95,0,1,24,2,3,1938,1,2,4,1,1,3,2,32,3,2,1,3,1,1,1
96,1,4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,1,2,1
97,1,4,24,4,10,6314,1,1,4,3,2,2,4,27,1,2,2,4,1,2,1
98,0,4,9,2,3,1478,1,4,4,3,1,2,3,22,3,2,1,3,1,1,1
99,0,1,48,2,3,6999,1,4,1,4,3,1,1,34,3,2,2,3,1,2,1
100,1,4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,1,2,1
101,1,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,1
102,1,4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,1,2,1
103,1,2,48,0,9,12204,5,3,2,3,1,2,3,48,1,2,1,4,1,2,1
104,1,4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,1,2,1
105,1,2,10,2,0,7308,1,1,2,3,1,4,4,70,1,3,1,4,1,2,1
106,1,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1
107,1,1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,2,1,1
108,1,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,1,2,1
109,1,4,24,4,6,1597,1,5,4,3,1,4,4,54,3,3,2,3,2,1,1
110,0,1,24,2,2,2996,5,3,2,4,1,4,3,20,3,2,1,3,1,1,1
111,0,1,12,2,6,684,1,3,4,3,1,4,3,40,3,1,1,2,2,1,1
112,1,4,15,2,1,4657,1,3,3,3,1,2,3,30,3,2,1,3,1,2,1
113,0,3,30,3,9,1908,1,5,4,3,1,4,1,66,3,2,1,4,1,2,1
114,0,1,6,2,6,448,1,2,4,2,1,4,2,23,3,2,1,3,1,1,1
115,0,1,24,2,0,1285,5,4,4,2,1,4,4,32,3,1,1,3,1,1,1
116,1,4,12,4,6,3565,5,2,2,3,1,1,2,37,3,2,2,2,2,1,1
117,1,4,54,0,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,2,1,1
118,1,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,2,1
119,1,2,18,3,0,2899,5,5,4,3,1,4,3,43,3,2,1,3,2,1,1
120,1,4,24,2,1,3488,2,4,3,2,1,4,3,23,3,2,1,3,1,1,1
121,1,4,12,4,0,1255,1,5,4,3,1,4,1,61,3,2,2,2,1,1,1
122,1,2,12,2,2,983,4,2,1,2,1,4,1,19,3,1,1,2,1,1,1
123,0,1,48,1,9,7685,1,4,2,2,3,4,3,37,3,1,1,3,1,1,1
124,0,4,18,4,0,1530,1,3,3,3,1,2,2,32,1,2,2,3,1,1,1
125,0,1,36,2,1,8335,5,5,3,3,1,4,4,47,3,3,1,3,1,1,1
126,1,4,10,2,0,1546,1,3,3,3,1,2,1,31,3,2,1,2,2,1,2
127,0,1,6,1,6,1198,1,5,4,2,1,4,4,35,3,3,1,3,1,1,1
128,1,1,24,2,1,2924,1,3,3,3,3,4,4,63,1,2,1,3,2,2,1
129,1,1,12,4,0,2121,1,3,4,3,1,2,2,30,3,2,2,3,1,1,1
130,1,4,36,0,5,2613,1,3,4,3,1,2,3,27,3,2,2,3,1,1,1
131,1,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1
132,1,1,15,2,0,1403,1,3,2,2,1,4,3,28,3,1,1,3,1,1,1
133,0,2,24,2,1,11560,1,3,1,2,1,4,3,23,3,1,2,4,1,1,1
134,0,2,24,2,3,2039,1,2,1,4,1,1,2,22,3,2,1,3,1,2,1
135,0,1,24,2,3,1823,1,1,4,3,1,2,3,30,2,2,1,4,2,1,1
136,0,2,48,2,3,5951,1,3,2,2,1,2,1,22,3,2,1,3,1,1,1
137,1,4,24,2,0,1525,4,4,4,2,1,3,3,34,3,2,1,3,2,2,1
138,1,4,15,4,3,1829,1,5,4,3,1,4,3,46,3,2,2,3,1,2,1
139,0,1,30,2,2,6350,5,5,4,3,1,4,2,31,3,2,1,3,1,1,1
140,1,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,1,1,1
141,0,4,30,1,1,7485,5,1,4,2,1,1,1,53,1,2,1,4,1,2,1
142,0,1,12,4,2,2246,1,5,3,3,1,3,2,60,3,2,2,3,1,1,1
143,1,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,1
144,1,4,12,2,9,1076,1,3,2,4,1,2,1,26,3,2,1,3,1,2,1
145,0,1,9,2,0,1422,1,2,3,3,1,2,4,27,3,3,1,4,1,2,1
146,0,4,18,3,2,1808,1,4,4,2,1,1,1,22,3,2,1,3,1,1,1
147,1,4,6,2,8,1238,5,1,4,3,1,4,2,36,3,2,1,4,2,2,1
148,1,1,36,2,0,3249,1,4,2,3,1,4,4,39,1,3,1,4,2,2,1
149,0,4,18,4,0,2775,1,4,2,3,1,2,2,31,1,2,2,3,1,1,1
150,1,2,18,2,5,3872,1,1,2,2,1,4,3,67,3,2,1,3,1,2,1
151,1,1,18,4,0,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,2,1
152,0,3,15,4,3,1271,5,3,3,3,1,4,4,39,3,3,2,3,1,2,1
153,1,4,24,2,3,3105,5,2,4,3,1,2,3,25,3,2,2,3,1,1,1
154,1,1,18,0,9,3104,1,4,3,3,1,1,2,31,1,2,1,3,1,2,1
155,1,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,2,1,1
156,0,2,9,4,6,1136,4,5,4,3,1,3,4,32,3,3,2,3,2,1,1
157,1,1,15,4,2,1478,1,5,4,3,1,4,3,44,3,2,2,3,2,2,1
158,1,2,10,1,3,1048,1,3,4,3,1,4,1,23,2,2,1,2,1,1,1
159,1,1,24,4,1,6419,1,5,2,2,1,4,4,44,3,3,2,4,2,2,1
160,0,1,42,2,3,3965,1,2,4,3,1,3,3,34,3,2,1,3,1,1,1
161,1,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1
162,1,4,11,4,3,1154,2,1,4,2,1,4,1,57,3,2,3,2,1,1,1
163,1,3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,1,2,1
164,0,1,24,2,0,2303,1,5,4,3,2,1,1,45,3,2,1,3,1,1,1
165,1,4,24,3,9,2375,3,3,4,3,1,2,3,44,3,2,2,3,2,2,1
166,1,2,6,2,3,368,5,5,4,3,1,4,2,38,3,2,1,3,1,1,1
167,1,4,12,4,0,926,1,1,1,2,1,2,2,38,3,2,1,1,1,1,1
168,1,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,2,1,2
169,1,4,6,3,3,935,1,3,3,2,1,2,1,24,3,2,1,3,1,1,1
170,0,2,24,4,10,11938,1,3,2,3,2,3,3,39,3,2,2,4,2,2,1
171,0,2,30,4,2,8386,1,4,2,3,1,2,2,49,3,2,1,3,1,1,1
172,0,4,12,2,2,1123,3,3,4,2,1,4,3,29,3,1,1,2,1,1,1
173,0,2,24,4,9,1935,1,5,4,1,1,4,1,31,3,2,2,3,1,2,1
174,0,1,24,2,0,1381,5,3,4,2,1,2,2,35,3,2,1,3,1,1,1
175,1,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,1,1,1
176,1,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,1
177,1,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,1,1,1
178,1,2,12,2,3,1092,1,3,4,2,3,4,1,49,3,2,2,3,1,2,1
179,1,4,24,4,0,2463,2,4,4,4,1,3,2,27,3,2,2,3,1,2,1
180,1,4,30,2,1,4811,5,4,2,2,1,4,2,24,2,1,1,2,1,1,1
181,1,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,1
182,1,4,42,2,3,7166,5,4,2,4,1,4,2,29,3,1,1,3,1,2,1
183,1,4,15,2,1,3029,1,4,2,3,1,2,3,33,3,2,1,3,1,1,1
184,0,4,10,2,0,1309,5,3,4,3,3,4,2,27,3,2,1,2,1,1,1
185,1,1,8,4,0,713,1,5,4,3,1,4,1,47,3,2,2,2,1,1,1
186,0,2,48,4,2,5096,1,3,2,2,1,3,3,30,3,2,1,4,1,2,1
187,0,1,12,2,1,3386,1,5,3,3,1,4,4,35,3,3,1,3,1,2,1
188,1,2,12,2,3,1155,1,5,3,4,3,3,1,40,1,2,2,2,1,1,1
189,1,4,42,4,2,4041,3,3,4,3,1,4,1,36,3,2,2,3,1,2,1
190,1,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,1
191,0,4,48,2,9,4844,1,1,3,3,1,2,3,33,3,1,1,4,1,2,1
192,1,4,18,4,3,2404,1,3,2,2,1,2,3,26,3,2,2,3,1,1,1
193,1,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1
194,1,1,24,2,1,6579,1,1,4,3,1,2,4,29,3,3,1,4,1,2,1
195,1,1,12,2,2,708,1,3,2,3,3,3,2,38,3,2,1,2,2,1,1
196,0,2,60,2,0,14027,1,4,4,3,1,2,4,27,3,2,1,4,1,2,1
197,0,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,1,1,1
198,0,1,18,2,2,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1
199,0,1,12,4,0,3499,1,3,3,2,2,2,1,29,3,2,2,3,1,1,1
200,1,4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,2,1
201,1,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,1
202,0,2,36,2,2,9034,2,2,4,3,2,1,4,29,3,1,1,4,1,2,1
203,1,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,1,1
204,1,2,12,3,3,585,1,3,4,4,2,4,1,20,3,1,2,3,1,1,1
205,1,4,12,3,1,1503,1,3,4,4,1,4,1,41,3,1,1,3,1,1,1
206,1,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,1,2,1
207,1,4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,1,2,1
208,1,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,1
209,0,1,24,1,2,6872,1,2,2,1,1,1,2,55,1,2,1,3,1,2,1
210,1,1,12,1,8,339,1,5,4,4,1,1,3,45,1,2,1,2,1,1,1
211,0,1,12,2,0,900,5,3,4,4,1,2,3,23,3,2,1,3,1,1,1
212,1,4,24,4,3,1516,4,3,4,2,1,1,1,43,3,2,2,2,1,1,1
213,1,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,1
214,1,4,22,2,0,1283,5,4,4,2,1,4,2,25,3,1,1,3,1,1,1
215,1,4,33,3,9,2764,1,3,2,2,1,2,3,26,3,2,2,3,1,2,1
216,1,4,12,2,3,1493,1,2,4,2,1,3,3,34,3,2,1,3,2,1,1
217,1,4,18,4,1,3850,1,4,3,3,1,1,3,27,3,2,2,3,1,1,1
218,1,1,24,4,3,1231,4,5,4,2,1,4,2,57,3,1,2,4,1,2,1
219,1,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,1,1,1
220,1,4,20,4,0,3485,5,2,2,1,1,4,1,44,3,2,2,3,1,2,1
221,1,4,24,1,9,1559,1,4,4,3,1,4,3,40,1,2,1,3,1,2,1
222,1,4,15,2,2,2221,3,3,2,2,1,4,3,20,3,1,1,3,1,1,1
223,0,2,36,2,0,12389,5,3,1,3,1,4,4,37,1,3,1,3,1,2,1
224,1,4,12,2,3,707,1,3,4,3,1,2,1,30,1,2,2,3,1,1,1
225,0,2,24,2,1,12579,1,5,4,2,1,2,4,44,3,3,1,4,1,2,1
226,1,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,1,1
227,1,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,1
228,0,1,24,0,2,4110,1,5,3,3,1,4,4,23,1,1,2,3,2,1,1
229,1,3,10,2,2,1275,1,2,4,2,1,2,2,23,3,2,1,3,1,1,1
230,1,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1
231,0,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,1,2,1
232,0,3,21,4,6,2319,1,2,2,1,1,1,3,33,3,1,1,3,1,1,1
233,1,4,24,2,3,1278,1,5,4,3,1,1,1,36,3,2,1,4,1,2,1
234,1,1,6,2,0,1203,2,5,3,3,1,2,2,43,3,2,1,3,1,2,1
235,1,2,9,2,0,3195,5,3,1,2,1,2,1,33,3,2,1,2,1,1,1
236,1,1,24,2,9,6568,1,3,2,4,1,2,3,21,2,2,1,2,1,1,1
237,0,1,48,0,2,7119,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1
238,1,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,1,1
239,1,2,8,2,9,907,1,2,3,4,1,2,1,26,3,2,1,3,1,2,1
240,0,1,24,3,3,1659,1,2,4,2,1,2,3,29,3,1,1,2,1,2,1
241,0,2,12,2,0,836,2,2,4,2,1,2,2,23,1,2,1,2,1,1,1
242,0,1,36,4,1,9629,1,4,4,3,1,4,3,24,3,2,2,3,1,2,1
243,1,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,1
244,0,2,6,1,6,433,4,2,4,2,1,2,2,24,1,1,1,3,2,1,1
245,1,4,6,4,3,1554,1,4,1,2,1,2,3,24,3,1,2,3,1,2,1
246,1,1,48,2,6,7476,1,4,4,3,1,1,4,50,3,3,1,4,1,2,1
247,1,2,18,2,3,1113,1,3,4,2,3,4,1,26,3,2,1,2,2,1,1
248,1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1
249,1,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,1
250,1,4,24,4,1,2197,5,4,4,3,1,4,3,43,3,2,2,3,2,2,1
251,1,1,39,4,2,14179,5,4,4,3,1,4,2,30,3,2,2,4,1,2,1
252,0,1,12,2,2,7865,1,5,4,3,1,4,4,53,3,3,1,4,1,2,1
253,0,1,9,2,0,654,1,3,4,3,1,3,3,28,3,2,1,2,1,1,1
254,1,4,6,4,3,700,5,5,4,3,1,4,4,36,3,3,2,3,1,1,1
255,1,4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1
256,1,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,1,2,1
257,1,4,36,4,9,6304,5,5,4,3,1,4,1,36,3,2,2,3,1,1,1
258,1,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,1,1,1
259,1,4,12,2,1,2445,5,2,2,4,1,4,3,26,3,1,1,3,1,2,1
260,0,2,12,2,0,1295,1,2,3,2,1,1,3,25,3,1,1,3,1,1,1
261,1,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,1,1,1
262,1,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,1
263,1,4,6,2,3,2108,1,4,2,4,1,2,1,29,3,1,1,3,1,1,1
264,0,3,15,2,3,2327,1,2,2,2,1,3,1,25,3,2,1,2,1,1,1
265,1,4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,2,2
266,1,4,15,4,0,5045,5,5,1,2,1,4,3,59,3,2,1,3,1,2,1
267,1,4,24,2,2,5511,2,3,4,3,1,1,3,25,2,2,1,3,1,1,1
268,0,2,18,2,2,1924,5,2,4,2,1,3,1,27,3,1,1,3,1,1,1
269,1,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,1,2,1
270,1,2,30,1,2,3496,4,3,4,3,1,2,3,34,2,2,1,3,2,2,1
271,1,2,27,3,1,5965,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1
272,1,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,2,1,1
273,1,2,6,3,2,1050,1,1,4,3,1,1,2,35,2,2,2,4,1,2,2
274,1,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1
275,1,4,12,4,3,976,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1
276,1,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1
277,1,4,12,2,2,1768,1,3,3,3,1,2,1,24,3,1,1,2,1,1,1
278,1,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,1
279,1,4,9,4,3,3074,5,3,1,3,1,2,1,33,3,2,2,3,2,1,1
280,1,4,24,2,0,3757,1,5,4,2,2,4,4,62,3,3,1,3,1,2,1
281,1,2,12,2,8,754,5,5,4,3,1,4,2,38,3,2,2,3,1,1,1
282,1,2,12,2,0,1007,4,3,4,4,1,1,1,22,3,2,1,3,1,1,1
283,1,4,15,3,1,3594,1,2,1,2,1,2,2,46,3,2,2,2,1,1,1
284,1,4,6,3,9,1743,2,3,1,3,1,2,1,34,3,2,2,2,1,1,1
285,1,4,24,2,0,1249,1,2,4,4,1,2,1,28,3,2,1,3,1,1,1
286,1,2,24,2,2,4351,5,3,1,2,1,4,2,48,3,2,1,2,1,2,1
287,1,2,15,2,5,1308,1,5,4,3,1,4,3,38,3,2,2,2,1,1,1
288,1,2,45,4,1,4576,2,1,3,3,1,4,3,27,3,2,1,3,1,1,1
289,1,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,1,2,1
290,1,4,48,1,9,3609,1,3,1,2,1,1,1,27,2,2,1,3,1,1,1
291,1,4,36,3,2,7678,3,4,2,2,1,4,3,40,3,2,2,3,1,2,1
292,0,4,48,4,0,10127,3,3,2,3,1,2,4,44,3,3,1,3,1,1,1
293,1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,1,1,1
294,1,4,24,2,0,7393,1,3,1,3,1,4,2,43,3,2,1,2,2,1,1
295,1,1,36,2,2,3959,1,1,4,3,1,3,2,30,3,2,1,4,1,2,1
296,1,2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,1,1,1
297,0,2,18,0,0,2278,2,2,3,2,1,3,3,28,3,2,2,3,1,1,1
298,0,4,12,3,5,1555,4,5,4,3,1,4,4,55,3,3,2,3,2,1,1
299,1,2,12,2,3,2930,1,4,2,2,1,1,1,27,3,2,1,3,1,1,1
300,0,1,6,4,2,3384,1,3,1,1,1,4,1,44,3,1,1,4,1,2,1
301,0,2,6,1,0,931,2,2,1,2,1,1,2,32,2,2,1,2,1,1,1
302,0,3,9,0,3,1337,1,2,4,3,1,2,3,34,3,2,2,4,1,2,1
303,0,1,24,2,3,1282,2,3,4,2,1,2,3,32,3,2,1,2,1,1,1
304,0,2,24,2,1,4113,3,2,3,2,1,4,3,28,3,1,1,3,1,1,1
305,1,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,1,2,1
306,1,1,21,4,0,571,1,5,4,3,1,4,1,65,3,2,2,3,1,1,1
307,1,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1
308,1,3,24,2,2,3749,1,2,2,2,1,4,3,26,3,2,1,3,1,1,1
309,1,4,15,2,3,1386,5,3,4,4,1,2,1,40,3,1,1,3,1,2,1
